主楼	126.639022827149 	45.753588535142 
机械楼	126.640396118164 	45.753813602048 
电机楼	126.638977050781 	45.752608158963 
法学院	126.640670776367 	45.752531865097 
动力楼	126.641967773438 	45.752684452829 
北门	126.637336730957 	45.752550938564 
格物楼	126.636085510254 	45.750574927452 
理学楼	126.633834838867 	45.749804359420 
材料科学与工程学院	126.640151977539 	45.752016881504 
经济管理学院	126.635200500488 	45.750098090798 
哈工大幼儿园	126.636001586914 	45.749377113780 
图书馆	126.638847351074 	45.751192907759 
软件学院	126.639984130860 	45.750933508617 
致知楼	126.639541625977 	45.750449042576 
留学生教学楼	126.640167236328 	45.749914985523 
风味美食长廊	126.641090393067 	45.749953132455 
三公寓	126.641654968262 	45.749583107213 
二公寓	126.642723083496 	45.748873574277 
六公寓	126.632045613937 	45.742107622181 
七公寓	126.631629799926 	45.741841813950 
十一公寓	126.632244043347 	45.740596990956 
留学生公寓	126.631525087511 	45.740398565479 
十二公寓	126.631433876695 	45.740937682113 
四公寓	126.630908073173 	45.741229701450 
十公寓	126.632384748898 	45.742799279217 
八公寓	126.631515563484 	45.742570911671 
九公寓	126.633661700310 	45.744240593817 
十八公寓	126.633763641809 	45.744697314316 
正心楼	126.631494102115 	45.743641610450 
超市	126.632502786424 	45.743806331517 
学苑楼	126.632438402319 	45.744132028559 
学士楼	126.633425625259 	45.743577968090 
篮球场	126.633350510470 	45.741421572298 
体育场	126.634852806249 	45.738718472440 
游泳馆	126.632787149553 	45.738216774689 
十五公寓	126.632127212479 	45.739362436081 
十六公寓	126.631139989539 	45.739643231855 
停车场	126.630474687123 	45.742058017219 
行政楼	126.630860991752 	45.745973865729 
诚意楼	126.634589904488 	45.742978977613 
饺子园	126.631569216904 	45.744513877843 
活动中心	126.631018370389 	45.739112526654 
计算机学院	126.634318158030 	45.742446900215 
新技术楼	126.633538976311 	45.742698666582 
体育馆	126.630475223064 	45.742705686074 
能源学院楼	126.634841859340 	45.747190493132 
工程训练中心	126.634593755006 	45.748391184794 
原点	126.630545631051 	45.746971034226 
西北二门	126.639778137207 	45.754816866395 
西二门	126.637695312500 	45.752974369520 
北门	126.637336730957 	45.752550938564 
机械楼和校部楼在复华街交口	126.641632080078 	45.753619052689 
机械 楼和校部楼在逸夫楼交口	126.640907287597 	45.753046848692 
校部楼在复华街交口（东南2门）	126.642532348632 	45.753065922159 
校部楼逸夫楼材院交口	126.641326904297 	45.752394536139 
校部楼和逸夫楼复华二道街交口	126.641708374023 	45.752142766382 
主楼和逸夫楼电机楼交口	126.640068054199 	45.752364018593 
电机楼材院复华街交口	126.639640808105 	45.751757482362 
复华二道街和教化街交口	126.640579223632 	45.751181463679 
法院街校园街	126.628499826350 	45.743274729964 
法院街学子路	126.630087967602 	45.744622442359 
法院街司令街	126.630871307543 	45.745337465447 
法院街教化街	126.631772685010 	45.746056222882 
校园街路一	126.62944964251413	45.742728148442 
校园街路二	126.630055926167 	45.742387468211 
路二路三	126.630238347797 	45.743364578470 
学子路路一	126.631032418423 	45.744057155844 
司令街路四	126.632491791465 	45.744412800346 
教化街路四	126.633264400723 	45.745232645882 
校园街路五	126.630554902979 	45.742144123916 
路三路五	126.631407992368 	45.742799279217 
学子路路五	126.632212793678 	45.743409502668 
司令街路五	126.633076613750 	45.744064643120 
教化街路五	126.634069202033 	45.744768442582 
工建街贵新街	126.629760832353 	45.739946489705 
校外街与教化街交点	126.637345701456 	45.743012670998 
校外街与司令街	126.636393517255 	45.742188113156 
校外街到停车场	126.632300466299 	45.738592112424 
校外街与校园街	126.633948683738 	45.740079398490 
校外街与护军街	126.632912009954 	45.739197701903 
校外街最外点	126.631950438022 	45.738218646704 
校外街最外拐点	126.629976332187 	45.739259477277 
校外街到十六公寓	126.630331724882 	45.739719046472 
校外街拐与护军街	126.631007641553 	45.740269401345 
护军街与繁荣街	126.631735861301 	45.739849147858 
工建街与护军街	126.630493998527 	45.740568911922 
弓箭 校园	126.631608456373 	45.741523591163 
校园繁荣	126.632827520370 	45.740787928015 
工商银行对面	126.632922738790 	45.742570911671 
繁荣街到小操场	126.634119004011 	45.741933536651 
弓箭司令	126.634124368429 	45.743465657865 
司令繁荣	126.635123491287 	45.742905975210 
弓箭拐点	126.635001450777 	45.744195670288 
教化街与校外街交叉口	126.637446284294 	45.743115622882 
教化街与校医院南交叉口	126.638614386320 	45.742397763523 
校外街与司令街北交叉口	126.636405587196 	45.742194664742 
校外街与司令街南交叉口	126.637416779995 	45.741612506536 
园丁小区小操场北交叉口	126.635079234838 	45.741044381663 
园丁小区小操场南交叉口	126.635776609182 	45.740540832874 
校外街与校园街交叉口	126.633950024843 	45.740070974703 
校外街与护军街交叉口	126.632914692163 	45.739193021948 
校外街与游泳馆右交叉口	126.632439270615 	45.738708644449 
校外街与游泳馆左交叉口	126.631963178515 	45.738220986722 
体育场与小操场右交叉口	126.634933054447 	45.739257605297 
体育场与马家沟河交叉口	126.634912937879 	45.738047357079 
体育场与游泳馆南交叉口	126.633387431502 	45.737925207600 
体育场与游泳馆北交叉口	126.632979735732 	45.738372619715 
游泳馆与左边界南交叉口	126.633193641901 	45.737661719499 
校园最南点	126.634438857436 	45.737123975272 

